primaryName,birthYear,nconst,deathYear,primaryProfession,knownForTitles,Ethnicity
Kate Lyn Sheil,1985,nm3338354,\N,"actress,writer,producer","tt1853739,tt5173032,tt2383068,tt3289728","Irish, possibly other"
Kate Maberly,1982,nm0531069,\N,"actress,writer,producer","tt0108071,tt1554369,tt0308644,tt0425196",English
Kate Mara,1983,nm0544718,\N,"actress,producer,soundtrack","tt3659388,tt1502712,tt1481572,tt0822854","Irish (50% to 56.25%), as well as one quarter Italian, one eighth German, one sixteenth French-Canadian"
Kate McKinnon,1984,nm0571952,\N,"actress,soundtrack,writer","tt1289401,tt0072562,tt4799050,tt6394270",NA
Kate McNeil,1959,nm0573896,\N,actress,"tt0095652,tt0085694,tt0114576,tt0186566",NA
Kate Micucci,1980,nm2177528,\N,"actress,soundtrack,writer","tt3061046,tt4116284,tt1185416,tt5531466","*75% Italian
*25% Polish and Czech"
Kate Siegel,1982,nm2318089,\N,"actress,writer,make_up_department","tt6763664,tt5022702,tt10574558,tt8783930",Ashkenazi Jewish
Kate Steavenson-Payne,1975,nm0824215,\N,actress,"tt0114279,tt0284741,tt3067436,tt0203248",NA
Kate Thomsen,\N,nm6753991,\N,actress,"tt4018690,tt4681432,tt10384970,tt10816062",NA
Kate Upton,1992,nm4478322,\N,actress,"tt2203939,tt0471042,tt0383010,tt4565520","English, small amount of Scottish, distant German and Dutch"
Kate Walsh,1967,nm0005532,\N,"actress,producer,soundtrack","tt0413573,tt1659337,tt0367479,tt1038686","*Irish (father)
*Italian, including Sicilian (mother)"
Kate Whitney,\N,nm1470334,\N,"writer,actress,director","tt6355382,tt2847564,tt2489784,tt0308383",NA
Kate Winslet,1975,nm0000701,\N,"actress,producer,soundtrack","tt0959337,tt0120338,tt0338013,tt0114388","English, as well as 1/16th Swedish, small amounts of Irish and Welsh"
Katee Sackhoff,1980,nm0755267,\N,"actress,producer,writer","tt1411250,tt0220506,tt2388715,tt0407362","*father – German and Finland-Swedish
*mother – one half Luxembourgish, one eighth Syrian-Lebanese, Irish, English"
Kateri Walker,\N,nm0907922,\N,"actress,stunts,miscellaneous","tt0114345,tt0272152,tt1545085,tt0144546",NA
Katharine Isabelle,1981,nm0410622,\N,actress,"tt0329101,tt0210070,tt0278504,tt1959332",Scottish (at least three quarters)
Katharine McPhee,1984,nm1897713,\N,"actress,soundtrack","tt1633356,tt0852713,tt6857166,tt1825133",NA
Katherine Drew,\N,nm5519761,\N,actress,"tt2049393,tt10341196,tt2545646,tt5032468",NA
Katherine Heigl,1978,nm0001337,\N,"actress,producer,soundtrack","tt1598828,tt0413573,tt0478311,tt1142988","*62.5% German
*12.5% Swiss-German
*25% Irish"
Katherine McNamara,1995,nm3031063,\N,"actress,soundtrack,producer","tt4145054,tt1831804,tt4500922,tt2193021",NA
Katherine Randolph,1983,nm0939822,\N,"actress,director,producer","tt2443216,tt1740784,tt3748850,tt0418763",NA
Katherine Sigismund,1979,nm2081916,\N,actress,"tt1093908,tt0481141,tt1111422,tt1399103",NA
Katherine Waterston,1980,nm2239702,\N,"actress,producer","tt3183660,tt1791528,tt2316204,tt4123430","English, Scottish, possibly other"
Katheryn Hecht,\N,nm0372965,\N,actress,"tt0278977,tt1085496,tt0197572,tt1331326",NA
Katheryn Winnick,1977,nm0935395,\N,"actress,producer,director","tt2306299,tt1648190,tt1103153,tt1389096",Ukrainian
Kathleen Fee,\N,nm0270268,\N,"actress,miscellaneous,writer","tt1840417,tt5834426,tt1667353,tt0368794",NA
Kathleen LaGue,1968,nm1508764,\N,"actress,casting_department,miscellaneous","tt1032751,tt0398027,tt1630574,tt0489279",NA
Kathleen Luong,1974,nm0526859,2020,actress,"tt0096542,tt0364888,tt0115438,tt0112022",NA
Kathleen McNenny,1962,nm0573986,\N,"actress,producer","tt1126618,tt0758766,tt0110167,tt0332379",NA
Kathleen Munroe,\N,nm1182008,\N,"actress,director,writer","tt4687882,tt1558182,tt7364522,tt4889096",NA
Kathleen Quinlan,1954,nm0000599,\N,"actress,producer,director","tt0101761,tt0069704,tt0118771,tt0112384","*father – Irish
*mother – English, Scottish, Welsh, Irish"
Kathleen Rose Perkins,1974,nm1137659,\N,"actress,writer,producer","tt2267998,tt2306775,tt0399201,tt1839578",NA
Kathleen Turner,1954,nm0000678,\N,"actress,soundtrack,producer","tt0088011,tt0091738,tt0111127,tt0082089","English, some Scots-Irish/Northern Irish and Scottish"
Kathleen Wilhoite,1964,nm0001849,\N,"actress,soundtrack,music_department","tt0091575,tt0106912,tt0098206,tt0119051",NA
Kathleen York,\N,nm0948723,\N,"actress,soundtrack,writer","tt12580982,tt0200276,tt7772602,tt3205802",NA
Kathrine Narducci,1965,nm0621393,\N,"actress,producer,director","tt8080122,tt8772296,tt13833958,tt1302006",Italian
Kathryn Erbe,1965,nm0002062,\N,"actress,miscellaneous","tt0109520,tt0164181,tt0103241,tt0275140",NA
Kathryn Fiore,1979,nm0278470,\N,actress,"tt0317919,tt0492956,tt0804492,tt0844716",NA
Kathryn Hahn,1973,nm1063517,\N,"actress,soundtrack,producer","tt1839481,tt2312890,tt9140560,tt3502262","German (62.5%), Irish, small amount of English"
Kathryn Joosten,1939,nm0429760,2012,actress,"tt0396269,tt0410975,tt0960731,tt0340163",NA
Kathryn Lyn,\N,nm2112420,\N,"writer,miscellaneous,actress","tt9184820,tt3560148,tt2091935,tt12327578",NA
Kathryn McCormick,1990,nm3663324,\N,"actress,producer","tt1800741,tt3024964,tt1016075,tt0247082",NA
Kathryn Michelle,\N,nm1573799,\N,"actress,producer,writer","tt1297943,tt0452046,tt5737388,tt1053424",NA
Kathryn Morris,1969,nm0606700,\N,"actress,soundtrack","tt0181689,tt0297284,tt0368479,tt0800325",NA
Kathryn Prescott,1991,nm3077071,\N,"actress,director,writer","tt10415386,tt8385474,tt0840196,tt5541240",English
Kathryn Todd Norman,\N,nm4020603,\N,actress,tt1705134,NA
Kathy Baker,1950,nm0000834,\N,"actress,producer","tt0103512,tt0124315,tt0159365,tt1315216","French (maternal grandmother), English, some Irish, 1/32 Polish"
Kathy Bates,1948,nm0000870,\N,"actress,director,soundtrack","tt0109642,tt0100157,tt0120338,tt0257360","English, some Irish, Scottish, German, Scots-Irish/Northern Irish, Cornish, and Welsh"
Kathy Najimy,1957,nm0001562,\N,"actress,producer,soundtrack","tt0105417,tt0108147,tt0107120,tt0250687",Lebanese
Katie Aselton,1978,nm1051221,\N,"actress,producer,director","tt5114356,tt1930294,tt9016974,tt1474889","Irish, French-Canadian, English"
Katie Bearden,\N,nm4219908,\N,"actress,special_effects","tt1854269,tt1935108,tt3526462,tt1853653",NA
Katie Carr,1973,nm0139772,\N,actress,"tt0350028,tt0233044,tt0103442,tt0813715",NA
Katie Cassidy,1986,nm1556320,\N,"actress,director,producer","tt2193021,tt0389860,tt0454082,tt1179056","German, Irish, English, Swiss-German, distant Scottish, remote Welsh"
Katie Chang,\N,nm4583512,\N,"actress,producer","tt11680642,tt2132285,tt2597760",NA
Katie Cleary,1981,nm1446934,\N,"producer,actress,camera_department","tt2559658,tt3205802,tt19867756,tt0363307","*Irish, German (father)
*Italian (mother)"
Katie Featherston,1982,nm2209370,\N,"actress,director,producer","tt3920596,tt1179904,tt1836195,tt5171432","English, German, Irish"
Katie Fleckenstein,\N,nm2701114,\N,NA,tt0347752,NA
Katie Holmes,1978,nm0005017,\N,"actress,producer,soundtrack","tt0118300,tt0134619,tt0372784,tt0810913","German, Irish, English"
Katie Maguire,\N,nm2327927,\N,"actress,writer,producer","tt3044664,tt2852626,tt1965217,tt7386778",NA
Katie McGrath,1983,nm2692146,\N,actress,"tt0369610,tt1199099,tt1972591,tt4016454",NA
Katie Parker,1986,nm3422130,\N,actress,"tt2543312,tt2137109,tt6763664,tt1610996",NA
Katie Peterson,\N,nm3345922,\N,actress,"tt1884318,tt1552112,tt1800741,tt8074486",NA
Katie Sagona,1989,nm0756218,\N,actress,"tt0128853,tt0119008,tt0113228,tt0120710",NA
Katie Stuart,1984,nm0835759,\N,actress,"tt0122076,tt0265208,tt0282483,tt0401815",NA
Katie Von Till,\N,nm1516976,\N,"actress,producer,assistant_director","tt6226232,tt1637574,tt10925300,tt0364845",NA
Katie Walder,1982,nm0907134,\N,"actress,writer,producer","tt0238784,tt0460649,tt0804503,tt0460681",NA
Katie Wilson,1990,nm3444884,\N,"actress,stunts","tt4477976,tt8427140,tt1846444,tt5981774",NA
Katrina Begin,\N,nm1640523,\N,"actress,writer,producer","tt8244578,tt7845644,tt4855114,tt1591493",NA
Katrina Bowden,1988,nm2197298,\N,actress,"tt1465522,tt1714203,tt0496424,tt1135985","English, one quarter Hungarian, German, distant Scots-Irish/Northern Irish"
Katrina Kaif,1984,nm1229940,\N,actress,"tt1833673,tt2016894,tt1562872,tt2176013",NA
Katrina Law,1985,nm0492345,\N,"actress,writer,producer","tt2193021,tt1442449,tt4532368,tt2959536",NA
Katrina Rose Tandy,\N,nm2797652,\N,"actress,soundtrack","tt5620962,tt3839870,tt1845866,tt1336608",NA
Katsuhisa Namase,1960,nm0620617,\N,actor,"tt8716268,tt0303558,tt1010055,tt2181028",NA
Katt Williams,1973,nm1139343,\N,"actor,writer,producer","tt0477051,tt0799949,tt0795461,tt0293815",NA
Katy O'Connor,\N,nm1183651,\N,"animation_department,actress,producer","tt0405296,tt1339049,tt0243017,tt1587169",NA
Kavan Reece,1979,nm1056067,\N,"actor,writer,producer","tt0460627,tt0165598,tt0292644,tt0118276",NA
Kavan Smith,1970,nm0808902,\N,"actor,producer,writer","tt0374455,tt4047038,tt0115392,tt0183523",NA
Kay Panabaker,1990,nm0659048,\N,"actress,soundtrack","tt1016075,tt0479500,tt0400037,tt1930315","English, Irish, German, one eighth Lithuanian, Scottish, Welsh, Scots-Irish/Northern Irish, 1/32 Norwegian, distant Dutch, possibly remote Cherokee Native American"
Kay Tong Lim,\N,nm0510558,\N,actor,"tt0095774,tt1885095,tt0110167,tt0106770",NA
Kaya Scodelario,1992,nm2546012,\N,actress,"tt4500922,tt1790864,tt8364368,tt1790809","*father – English
*mother – Brazilian [Portuguese, 3/8ths Italian]"
Kayla Carlson,\N,nm2277072,\N,actress,"tt9054904,tt0395843,tt4655480,tt10329042",NA
Kayla Lian,1985,nm2962059,\N,actress,"tt1830617,tt2900624,tt1209301,tt2609570",NA
Kayle Blogna,\N,nm3990571,\N,"actress,producer","tt3822004,tt1529558,tt1691452,tt2998070",NA
Kayle Watson,\N,nm0914746,\N,"actor,stunts","tt0192962,tt0205722,tt0118569,tt0112764",NA
Kazuki Kitamura,1969,nm0457556,\N,actor,"tt3185154,tt9397640,tt13529316,tt5225102",NA
Kazuko Yoshiyuki,1935,nm0949097,\N,actress,"tt0876563,tt1069238,tt0077132,tt0053111",NA
Kazunari Ninomiya,1983,nm0632497,\N,"actor,soundtrack","tt1525836,tt1525835,tt0498380,tt3853452",NA
Keanu Reeves,1964,nm0000206,\N,"actor,producer,soundtrack","tt0234215,tt0111257,tt0102685,tt0133093","*father – Native Hawaiian, Portuguese, English, Scottish, at least 1/16th Chinese, remote Dutch
*mother – English"
Kedar Brown,1968,nm0113983,\N,actor,"tt0217630,tt0073707,tt0165832,tt2316411",NA
Keegan-Michael Key,1971,nm1221047,\N,"actor,writer,producer","tt3829266,tt1981558,tt1924435,tt4139124",NA
Keegan Connor Tracy,\N,nm0870535,\N,"actress,director,writer","tt2188671,tt2426110,tt4254242,tt2583620",NA
Keir Dullea,1936,nm0001158,\N,"actor,soundtrack","tt0071222,tt0055892,tt0062622,tt0086837",NA
Keir Gilchrist,1992,nm1507857,\N,actor,"tt0804497,tt3235888,tt2316306,tt0455760","Scottish, English, Northern Irish"
Keir O'Donnell,1978,nm1218757,\N,"actor,writer,director","tt5144174,tt2802850,tt0396269,tt2179136",NA
Keira Knightley,1985,nm0461136,\N,"actress,soundtrack,producer","tt0325980,tt2084970,tt0783233,tt0414387","English, Scottish, Welsh"
Keisha Castle-Hughes,1990,nm1095720,\N,"actress,producer,art_director","tt0469099,tt0121766,tt0298228,tt0762121",NA
Keisha Shadè Akinyemi,\N,nm11555663,\N,actress,"tt3752572,tt6531500,tt1844770,tt3152098",NA
Keith Allen,1953,nm0020717,\N,"actor,soundtrack,director","tt0111149,tt4649466,tt0274309,tt0230600",NA
Keith Carradine,1949,nm0001018,\N,"actor,soundtrack,music_department","tt10293406,tt0073440,tt0348914,tt0409847",NA
Keith Coulouris,1967,nm0183460,\N,"actor,writer,editor","tt0488967,tt0783581,tt0103060,tt0115236",NA
Keith David,1956,nm0202966,\N,"actor,soundtrack,producer","tt0120591,tt0096256,tt0780521,tt0084787",African-American
Keith Diamond,1962,nm0224659,\N,actor,"tt0167116,tt0104139,tt0079833,tt0099077",NA
Keith Duffy,1974,nm0240568,\N,"actor,soundtrack,composer","tt0053494,tt0170930,tt1625724,tt0126739",NA
Keith Reay,\N,nm3771853,\N,"actor,director,camera_department","tt4527268,tt1584943,tt2074324,tt2320030",NA
Keith Robinson,\N,nm0732804,\N,"actor,writer,producer","tt9686708,tt3152624,tt0212643,tt0117450",NA
Keke Palmer,1993,nm1551130,\N,"actress,music_department,producer","tt11040762,tt5503686,tt10954984,tt3107166",African-American
Kel Mitchell,1978,nm0005239,\N,"actor,producer,soundtrack","tt0119215,tt0132347,tt0115231,tt1204285",African-American
Kelen Coleman,\N,nm2584298,\N,"actress,miscellaneous","tt6477194,tt0386676,tt1870479,tt3920596",NA
Kellan Lutz,1985,nm1553725,\N,"actor,producer,stunts","tt1673434,tt1324999,tt1325004,tt1259571","*62.5% German
*12.5% Dutch
*12.5% English
*12.5% Swedish"
Kellee Stewart,1976,nm1285540,\N,actress,"tt0416658,tt1231587,tt0372237,tt2637294",NA
Kelley,\N,nm3679189,\N,actress,"tt0170016,tt14793686",NA
Kelley Whilden,\N,nm2566089,\N,"actress,camera_department","tt1293805,tt1564369,tt2564414,tt1367248",NA
Kelli Berglund,1996,nm2399914,\N,"actress,soundtrack","tt8201814,tt8746478,tt6554240,tt9130508","English, one quarter Italian, one eighth French-Canadian, small amounts of German, Irish, and Scottish, 1/32 Swedish, distant Welsh and Dutch"
Kelli Garner,1984,nm0307726,\N,"actress,costume_department,music_department","tt0338751,tt1826805,tt0805564,tt4067076","English, other"
Kelli Strickland,\N,nm3177370,\N,actress,tt1315214,NA
Kelli Williams,1970,nm0005559,\N,"actress,director,producer","tt2262532,tt1235099,tt0118437,tt4671682",NA
Kelly Albanese,\N,nm1497461,\N,actress,"tt1586680,tt4687880,tt6473344,tt9147456",NA
Kelly Blatz,1987,nm2034147,\N,"actor,director,editor","tt21096576,tt8083936,tt5634338,tt0926129","German, Danish, Irish, English, distant Cornish, remote Dutch"
Kelly Carey,\N,nm3835727,\N,actress,"tt1262413,tt2393877",NA
Kelly Carlson,1976,nm1023018,\N,actress,"tt0361217,tt0866439,tt0419946,tt0233142","*43.75% Swedish (approximately)
*25% German
*12.5% English
*12.5% Irish
*6.25% Norwegian"
Kelly Chapek,\N,nm2937364,\N,actress,"tt1079448,tt0470982",NA
Kelly Curran,\N,nm3165266,\N,actress,"tt1694021,tt0460649,tt1024648,tt1308758",NA
Kelly Hu,1968,nm0005026,\N,"actress,soundtrack","tt0097388,tt0471041,tt1877889,tt0277296","English, Chinese, Hawaiian"
Kelly K.C. Quann,\N,nm1351583,\N,actress,"tt0405977,tt0338754,tt0298744",NA
Kelly LeBrock,1960,nm0001456,\N,actress,"tt0088414,tt0099739,tt0090305,tt0120901",NA
Kelly Lynch,1959,nm0001488,\N,actress,"tt0160127,tt0098206,tt0097240,tt0114857","*43.75% German
*25% Polish
*12.5% Irish, likely some Northern Irish
*12.5% Swedish
*6.25% Luxembourgish"
Kelly Macdonald,1976,nm0531808,\N,"actress,soundtrack","tt2763304,tt1217209,tt0280707,tt0477348",Scottish
Kelly McGillis,1957,nm0000534,\N,"actress,producer,soundtrack","tt0092099,tt0090329,tt1464580,tt0094608",NA
Kelly O'Leary,\N,nm3602547,\N,"actress,miscellaneous","tt2103188,tt1636629,tt0460734",NA
Kelly O'Neal,\N,nm0641914,\N,"actress,producer,director","tt1204975,tt3641862,tt5580036,tt3693252",NA
Kelly Overton,1978,nm0653952,\N,"actress,producer,director","tt5197820,tt0377109,tt0844441,tt0411951","English, German, Irish, possibly other"
Kelly Preston,1962,nm0000593,2020,"actress,soundtrack","tt0116695,tt0126916,tt0185183,tt0312528","English, Irish, German, Scottish, Scots-Irish/Northern Irish, 1.5/32 Native Hawaiian, distant Swiss-German, remote Breton, Dutch, Swedish, French Huguenot, and Welsh"
Kelly Reilly,1977,nm0717709,\N,"actress,producer","tt1907668,tt0988045,tt1020530,tt0414387","Irish, possibly other"
Kelly Rutherford,1968,nm0005393,\N,"actress,soundtrack,producer","tt0105932,tt0103491,tt0364888,tt0460084","English, Scottish, other"
Kelly Vitz,1988,nm1712175,\N,actress,"tt0479500,tt0405325,tt1186823,tt0273366",NA
Kelsey Asbille,1991,nm2080328,\N,"actress,producer","tt2802850,tt4236770,tt5362988","*Chinese Taiwanese (father)
*English, German (mother)"
Kelsey Edwards,\N,nm1352952,\N,"actress,director,producer","tt26762752,tt1230126,tt11140488,tt0339537",NA
Kelsey Grammer,1955,nm0001288,\N,"producer,actor,soundtrack","tt2109248,tt0106004,tt0083399,tt2333784","English, German, Dutch, Scottish, Irish, French-Canadian/French, Welsh"
Kelsey Siepser,\N,nm1671780,\N,"actress,producer,miscellaneous","tt3313182,tt3093286,tt25446262,tt3548978",NA
Kelsy Abbott,1985,nm2940487,\N,"writer,actress,animation_department","tt2968370,tt3154124,tt2886678,tt3154024",NA
Ken Barnett,\N,nm1757373,\N,"actor,soundtrack,miscellaneous","tt0804503,tt1856010,tt6078096,tt3502172",NA
Ken Bevel,\N,nm2848533,\N,actor,"tt1630036,tt1129423",NA
Ken Cheeseman,1954,nm0154914,\N,"actor,sound_department","tt1151359,tt0327056,tt1130884,tt1058017",NA
Ken Davitian,1953,nm0205772,\N,"actor,producer,writer","tt0443453,tt1073498,tt0257076,tt0425061",Armenian
Ken Duken,1979,nm0241222,\N,"actor,producer,director","tt8179402,tt0361748,tt1029235,tt26696607",NA
Ken Foree,1948,nm0286010,\N,"actor,producer,writer","tt1731697,tt0077402,tt0091083,tt0373883",NA
Ken Howard,1944,nm0397432,2016,"actor,soundtrack","tt1616195,tt0068156,tt0465538,tt0462499","English, Scottish, Irish"
Ken Jeong,1969,nm0421822,\N,"actor,producer,writer","tt1119646,tt1399103,tt1411697,tt3104988",Korean
Ken Kirzinger,1959,nm0457090,\N,"stunts,actor","tt0409459,tt0329101,tt0800080,tt0338337",German
Ken Leung,1970,nm0504962,\N,"actor,soundtrack","tt0411008,tt10954652,tt7671070,tt0141842",Chinese
Ken Magee,1946,nm0535850,2015,actor,"tt0086856,tt0079367,tt0329575,tt0120004",NA
Ken Marino,1968,nm0547800,\N,"actor,producer,writer","tt0130421,tt1655460,tt0811106,tt1325113",Italian
Ken Olandt,1958,nm0645949,\N,"actor,producer,soundtrack","tt0090655,tt0107387,tt0094072,tt0092455",NA
Ken Watanabe,1959,nm0913822,\N,"actor,producer,soundtrack","tt1375666,tt0325710,tt0831387,tt3741700",Japanese
Kenan Thompson,1978,nm0860380,\N,"actor,soundtrack,producer","tt0119215,tt0115231,tt0072562,tt0417148",African-American
Kendall Cross,\N,nm0189202,\N,"actress,producer,soundtrack","tt2661044,tt5174766,tt5197820,tt8369840",NA
Kendra C. Johnson,1976,nm1985361,\N,"actress,miscellaneous,director","tt0286486,tt0490196,tt2834032,tt0772137",NA
Kene Holiday,1949,nm0391063,\N,actor,"tt0086719,tt0087910,tt0118798,tt0780511",NA
Kenji Matsuda,1971,nm0559414,\N,"actor,miscellaneous","tt1473235,tt1526067,tt4143220,tt0897443",NA
Kennedi Clements,2007,nm4149623,\N,actress,"tt3486392,tt2315896,tt1029360,tt2618986",NA
Kenneisha Thompson,\N,nm5652167,\N,"actress,producer","tt1723760,tt10329642,tt2837574,tt0413573",NA
Kenneth Anger,1927,nm0001910,2023,"director,writer,editor","tt0039383,tt1568152,tt0489572,tt0489546",NA
Kenneth Branagh,1960,nm0000110,\N,"actor,producer,director","tt0116477,tt3402236,tt0097499,tt0107616","Northern Irish/Ulster-Scots, Irish"
Kenneth Bryans,1959,nm0117029,2017,actor,"tt0160904,tt0472156,tt0119591,tt0111149",NA
Kenneth Hall,\N,nm3930510,\N,actor,tt1667133,NA
Kenneth Tsang,1934,nm0874684,2022,"actor,director,writer","tt0246460,tt0266915,tt0097202,tt0120008",NA
Kenneth Welsh,1942,nm0920564,2022,"actor,soundtrack","tt0098936,tt0319262,tt0349825,tt0111438",NA
Kenny Alfonso,1966,nm0019171,\N,actor,"tt13984270,tt9174558,tt6483832,tt3560084",NA
Kenny Doughty,1975,nm0234910,\N,"actor,director","tt3959576,tt1706620,tt1864017,tt1693592",NA
Kenny Johnson,1963,nm0425543,\N,"actor,producer,director","tt1190872,tt0286486,tt0120611,tt4519400",NA
Kenny Wormald,1984,nm1552693,\N,"actor,producer,miscellaneous","tt1068242,tt0903657,tt0424345,tt0365957","English, German, Irish, Italian, Swedish, Finnish, Lithuanian"
Kent Igleheart,\N,nm1836671,\N,"actor,director,writer","tt4450682,tt2246549,tt1672169,tt0393567",NA
Kent King,1974,nm0454955,\N,"actress,producer","tt1039251,tt0069658,tt0056758,tt0078638",NA
Kent Moran,\N,nm2092917,\N,"actor,producer,writer","tt1274296,tt9169360,tt1974382,tt14913290",NA
Kentaro Kishi,\N,nm2208564,\N,"actor,cinematographer,camera_department","tt6583316,tt1050160,tt1183732,tt1776245",NA
Kentarô Shimazu,\N,nm2416221,\N,"actor,miscellaneous,stunts","tt1087900,tt2519428,tt1183732,tt1462667",NA
Kenyetta Lethridge,1977,nm1880470,\N,"actress,producer","tt0452046,tt1335992,tt1562557,tt1650544",NA
Keram Malicki-Sánchez,1974,nm0539537,\N,"actor,music_department,soundtrack","tt1572315,tt5774450,tt0175526,tt0450314",NA
Keri Lynn Pratt,1978,nm0005325,\N,actress,"tt0410997,tt1315981,tt0265029,tt0164114","*father – Polish, English, remote Northern Irish and French"
Keri Russell,1976,nm0005392,\N,"actress,producer,soundtrack","tt0317919,tt0134247,tt0473308,tt2103281","English, along with German, Swiss-German, Scots-Irish/Northern Irish, Manx/Isle of Man, Dutch, Danish"
Kerr Smith,1972,nm0005445,\N,"actor,director","tt1179891,tt0195714,tt1442109,tt0118300","German, as well as Scottish, English"
Kerri Kenney,1970,nm0448486,\N,"actress,producer,writer","tt1655460,tt0130421,tt0370194,tt0499554",NA
Kerry Bishé,1984,nm2628935,\N,"actress,soundtrack","tt0873886,tt5246700,tt1000774,tt1024648",NA
Kerry Knuppe,\N,nm1944279,\N,"actress,stunts","tt8593824,tt8888462,tt21094994,tt7423538",NA
Kerry Washington,1977,nm0913488,\N,"actress,producer,director","tt0350258,tt1853728,tt0206275,tt1837576","African-American, African-Jamaican [African, as well as some English, Scottish, Native American]"
Kesha,\N,nm6046951,\N,actress,tt1692193,NA
Keshia Knight Pulliam,1979,nm0700443,\N,"actress,producer,director","tt0086687,tt1142800,tt0773264,tt0089461",NA
Keston John,\N,nm1929609,\N,"actor,sound_department,producer","tt4955642,tt1630029,tt7745956,tt7772602",NA
Kether Donohue,1985,nm1850967,\N,"actress,producer,writer","tt1981677,tt3228420,tt0469008,tt1713476","*father – Cuban [Spanish, possibly other]
*mother – Irish, possibly other"
Kevan Cameron,\N,nm3228738,\N,actor,"tt1337569,tt2090431,tt0899106,tt0775362",NA
Kevan McClellan,\N,nm4161891,\N,actor,"tt1418757,tt3768572,tt3038142,tt0452046",NA
Kevin Alejandro,1976,nm1204760,\N,"actor,director,producer","tt0844441,tt2193021,tt1299368,tt7246350",Mexican
Kevin Allesee,\N,nm2063324,\N,"actor,director,writer","tt9077370,tt1536026,tt1212055,tt2119429",NA
Kevin Arnold Hoffman,\N,nm4828434,\N,"actor,director,composer","tt2055765,tt4998350,tt9063682,tt9686730",NA
Kevin Bacon,1958,nm0000102,\N,"actor,producer,soundtrack","tt0164052,tt0327056,tt0087277,tt0361127","English (mostly), some Irish/Norhtern Irish, German, and Welsh"
Kevin Balmore,\N,nm3172776,\N,actor,"tt2370248,tt6000478,tt1366344,tt1567609",NA
Kevin Chamberlin,1963,nm0150255,\N,"actor,soundtrack,director","tt0257044,tt3609352,tt0112864,tt1442437",NA
Kevin Chapman,1962,nm0152430,\N,"actor,producer,soundtrack","tt1839578,tt7187044,tt10366460,tt5011816",NA
Kevin Clash,1960,nm0165159,\N,"actor,miscellaneous,producer","tt0100758,tt0063951,tt0117110,tt0103060",NA
Kevin Connolly,1974,nm0175305,\N,"actor,director,producer","tt1674771,tt0251160,tt0387199,tt0332280","Irish, small amount of Scottish"
Kevin Conway,1942,nm0176723,2020,"actor,director","tt0107007,tt0445990,tt0146309,tt0120749",NA
Kevin Corrigan,1969,nm0180984,\N,"actor,soundtrack,producer","tt0407887,tt0108399,tt0910936,tt0477080","*Irish (father)
*Puerto Rican (mother)"
Kevin Costner,1955,nm0000126,\N,"actor,producer,soundtrack","tt0099348,tt0102798,tt0103855,tt0119925","English, German, Swiss-German, Scottish, Welsh, Irish, Scots-Irish/Northern Irish, remote French Huguenot"
Kevin Curtis,\N,nm5114093,\N,"actor,music_department","tt7562112,tt3120054,tt8310612,tt11063096",NA
Kevin Dillon,1965,nm0001143,\N,"actor,soundtrack,producer","tt0094761,tt0101761,tt0091763,tt0409182","*87.5% Irish
*12.5% mix of German, Scottish, and Irish"
Kevin Downes,\N,nm0235948,\N,"actor,producer,director","tt3014666,tt6450186,tt1630036,tt0981042",NA
Kevin Durant,1988,nm2562621,\N,"producer,actor","tt6970600,tt10254986,tt8005626,tt13472984",African-American
Kevin Gage,1959,nm0300824,\N,"actor,producer,writer","tt0119173,tt0221027,tt0113277,tt0118880",NA
Kevin Hart,1979,nm0366389,\N,"producer,writer,actor","tt2709768,tt1489889,tt1661382,tt1408253",African-American
Kevin Heffernan,1968,nm0373571,\N,"actor,writer,producer","tt0247745,tt0859635,tt0331953,tt0486551",Irish
Kevin Held,1979,nm0374911,\N,"actor,miscellaneous","tt5505986,tt0762105,tt2719796,tt1728978",NA
Kevin Howarth,\N,nm0397721,\N,"actor,miscellaneous","tt14057360,tt0167260,tt25579584,tt0829176",NA
Kevin J. O'Connor,1963,nm0640413,\N,"actor,soundtrack","tt0120616,tt0338526,tt0118956,tt0098384",NA
Kevin James,1965,nm0416673,\N,"actor,producer,writer","tt3450650,tt1114740,tt0165581,tt1648179","*50% German
*37.5% Jewish [Ashkenazi, Sephardi]
*12.5% Italian"
Kevin Kline,1947,nm0000177,\N,"actor,soundtrack,director","tt0106673,tt0113117,tt0120891,tt0095159","*Ashkenazi Jewish (father)
*Irish (mother)"
Kevin Mambo,1972,nm0541039,\N,"actor,writer","tt9073940,tt3322314,tt1042877,tt0044265",NA
Kevin McKidd,1973,nm0571727,\N,"actor,director,soundtrack","tt1217209,tt0117951,tt0320661,tt0280609",NA
Kevin McNally,1956,nm0573618,\N,"actor,writer,soundtrack","tt0383574,tt1298650,tt0325980,tt0449088",NA
Kevin Mundy,1977,nm0612775,\N,"actor,miscellaneous","tt27111245,tt11083696,tt25050004,tt16098700",NA
Kevin P. Farley,1965,nm0267659,\N,"actor,writer,producer","tt0188863,tt1190617,tt0120654,tt0120484",NA
Kevin Phillips,\N,nm1592281,\N,"actor,producer,writer","tt10696784,tt0485985,tt0346631,tt0472198",NA
Kevin Pollak,1957,nm0001629,\N,"actor,producer,writer","tt0114814,tt0146675,tt0327247,tt0104257",Ashkenazi Jewish
